transaction_date,source,product_name,transaction_type,amount,net_amount,year,month,month_name,year_month
2024-07-18,TCGplayer,,Sale,14.89,14.89,2024,7,Jul,2024-07
2024-07-18,TCGplayer,,Sale,33.03,33.03,2024,7,Jul,2024-07
2024-07-19,Amazon,Pokemon TCG: S&V Paradox Rift Booster Bundle,Sale,26.31,26.31,2024,7,Jul,2024-07
2024-07-19,Amazon,Pokemon TCG: S&V Paradox Rift Booster Bundle,Sale,26.31,26.31,2024,7,Jul,2024-07
2024-07-19,Amazon,Pokemon Scarlet & Violet 3 Obsidian Flames Booster Bundle,Sale,18.39,18.39,2024,7,Jul,2024-07
2024-07-19,Amazon,Pokemon TCG: S&V Paradox Rift Booster Bundle,Sale,26.31,26.31,2024,7,Jul,2024-07
2024-07-20,TCGplayer,,Sale,17.09,17.09,2024,7,Jul,2024-07
2024-07-23,TCGplayer,,Sale,60.67,60.67,2024,7,Jul,2024-07
2024-07-24,TCGplayer,,Return,17.63,-17.63,2024,7,Jul,2024-07
2024-07-26,TCGplayer,,Sale,91.39,91.39,2024,7,Jul,2024-07
2024-07-27,TCGplayer,,Sale,61.17,61.17,2024,7,Jul,2024-07
2024-07-29,TCGplayer,,Sale,9.12,9.12,2024,7,Jul,2024-07
2024-07-29,TCGplayer,,Sale,34.69,34.69,2024,7,Jul,2024-07
2024-08-02,Amazon,Pokemon TCG: SV6.5 Shrouded Fable Special Collection Greninja EX,Sale,29.99,29.99,2024,8,Aug,2024-08
2024-08-02,Amazon,Pokemon TCG: S&V Shrouded Fable Kingambit Illustration Collection,Sale,21.99,21.99,2024,8,Aug,2024-08
2024-08-02,TCGplayer,,Sale,36.53,36.53,2024,8,Aug,2024-08
2024-08-03,TCGplayer,,Sale,10.61,10.61,2024,8,Aug,2024-08
2024-08-04,TCGplayer,,Sale,11.7,11.7,2024,8,Aug,2024-08
2024-08-05,TCGplayer,,Return,0.06,-0.06,2024,8,Aug,2024-08
2024-08-05,TCGplayer,,Sale,43.99,43.99,2024,8,Aug,2024-08
2024-08-05,TCGplayer,,Return,2.13,-2.13,2024,8,Aug,2024-08
2024-08-07,TCGplayer,,Sale,28.52,28.52,2024,8,Aug,2024-08
2024-08-07,TCGplayer,,Sale,43.37,43.37,2024,8,Aug,2024-08
2024-08-08,TCGplayer,,Sale,11.36,11.36,2024,8,Aug,2024-08
2024-08-08,TCGplayer,,Sale,20.03,20.03,2024,8,Aug,2024-08
2024-08-11,TCGplayer,,Sale,30.34,30.34,2024,8,Aug,2024-08
2024-08-12,TCGplayer,,Sale,5.35,5.35,2024,8,Aug,2024-08
2024-08-12,TCGplayer,,Return,9.11,-9.11,2024,8,Aug,2024-08
2024-08-12,TCGplayer,,Sale,7.62,7.62,2024,8,Aug,2024-08
2024-08-13,TCGplayer,,Sale,42.3,42.3,2024,8,Aug,2024-08
2024-08-14,TCGplayer,,Sale,13.73,13.73,2024,8,Aug,2024-08
2024-08-14,TCGplayer,,Sale,11.93,11.93,2024,8,Aug,2024-08
2024-08-14,TCGplayer,,Sale,13.44,13.44,2024,8,Aug,2024-08
2024-08-14,TCGplayer,,Sale,9.83,9.83,2024,8,Aug,2024-08
2024-08-16,TCGplayer,,Sale,53.91,53.91,2024,8,Aug,2024-08
2024-08-16,TCGplayer,,Sale,73.8,73.8,2024,8,Aug,2024-08
2024-08-16,TCGplayer,,Sale,13.41,13.41,2024,8,Aug,2024-08
2024-08-19,TCGplayer,,Sale,5.37,5.37,2024,8,Aug,2024-08
2024-08-19,TCGplayer,,Sale,6.33,6.33,2024,8,Aug,2024-08
2024-08-25,TCGplayer,,Sale,28.05,28.05,2024,8,Aug,2024-08
2024-08-25,TCGplayer,,Sale,7.89,7.89,2024,8,Aug,2024-08
2024-08-28,TCGplayer,,Sale,12.09,12.09,2024,8,Aug,2024-08
2024-08-31,TCGplayer,,Sale,28.09,28.09,2024,8,Aug,2024-08
2024-09-01,TCGplayer,,Sale,20.14,20.14,2024,9,Sep,2024-09
2024-09-03,TCGplayer,,Sale,18.08,18.08,2024,9,Sep,2024-09
2024-09-04,TCGplayer,,Sale,21.62,21.62,2024,9,Sep,2024-09
2024-09-04,TCGplayer,,Sale,6.41,6.41,2024,9,Sep,2024-09
2024-09-04,TCGplayer,,Sale,5.71,5.71,2024,9,Sep,2024-09
2024-09-08,TCGplayer,,Sale,56.7,56.7,2024,9,Sep,2024-09
2024-09-09,Amazon,Pokemon TCG: S&V Paldean Fates Booster Bundle,Sale,24.99,24.99,2024,9,Sep,2024-09
2024-09-10,TCGplayer,,Sale,15.03,15.03,2024,9,Sep,2024-09
2024-09-11,Amazon,Pokemon TCG: S&V Stellar Crown Booster Bundle (replacement),Sale,26.95,26.95,2024,9,Sep,2024-09
2024-09-12,Amazon,Pokemon TCG: S&V Stellar Crown Elite Trainer Box,Sale,39.85,39.85,2024,9,Sep,2024-09
2024-09-13,TCGplayer,,Sale,53.99,53.99,2024,9,Sep,2024-09
2024-09-13,TCGplayer,,Sale,36.48,36.48,2024,9,Sep,2024-09
2024-09-13,TCGplayer,,Return,9.63,-9.63,2024,9,Sep,2024-09
2024-09-13,TCGplayer,,Sale,17.25,17.25,2024,9,Sep,2024-09
2024-09-14,TCGplayer,,Sale,19.39,19.39,2024,9,Sep,2024-09
2024-09-15,TCGplayer,,Sale,58.8,58.8,2024,9,Sep,2024-09
2024-09-18,TCGplayer,,Sale,6.76,6.76,2024,9,Sep,2024-09
2024-09-19,TCGplayer,,Sale,41.99,41.99,2024,9,Sep,2024-09
2024-09-21,TCGplayer,,Sale,63.08,63.08,2024,9,Sep,2024-09
2024-09-24,TCGplayer,,Sale,31.37,31.37,2024,9,Sep,2024-09
2024-09-25,Amazon,Pokemon TCG: S&V Paldea Evolved Elite Trainer Box,Sale,34.59,34.59,2024,9,Sep,2024-09
2024-09-27,TCGplayer,,Sale,43.23,43.23,2024,9,Sep,2024-09
2024-09-28,TCGplayer,,Sale,15.78,15.78,2024,9,Sep,2024-09
2024-09-28,TCGplayer,,Sale,18.35,18.35,2024,9,Sep,2024-09
2024-09-28,TCGplayer,,Sale,24.44,24.44,2024,9,Sep,2024-09
2024-09-29,TCGplayer,,Return,2.66,-2.66,2024,9,Sep,2024-09
2024-09-29,TCGplayer,,Sale,18.78,18.78,2024,9,Sep,2024-09
2024-09-29,TCGplayer,,Sale,10.03,10.03,2024,9,Sep,2024-09
2024-09-29,TCGplayer,,Sale,20.31,20.31,2024,9,Sep,2024-09
2024-09-29,TCGplayer,,Sale,10.65,10.65,2024,9,Sep,2024-09
2024-09-30,TCGplayer,,Sale,63.71,63.71,2024,9,Sep,2024-09
2024-10-01,TCGplayer,,Return,3.47,-3.47,2024,10,Oct,2024-10
2024-10-03,TCGplayer,,Sale,28.82,28.82,2024,10,Oct,2024-10
2024-10-06,TCGplayer,,Sale,36.97,36.97,2024,10,Oct,2024-10
2024-10-06,TCGplayer,,Sale,30.6,30.6,2024,10,Oct,2024-10
2024-10-08,Best Buy,Pokemon TCG: S&V Shrouded Fable Elite Trainer Box,Sale,29.99,29.99,2024,10,Oct,2024-10
2024-10-08,Best Buy,Pokemon TCG: S&V Shrouded Fable Elite Trainer Box,Sale,29.99,29.99,2024,10,Oct,2024-10
2024-10-09,TCGplayer,,Sale,35.08,35.08,2024,10,Oct,2024-10
2024-10-09,Best Buy,Pokemon TCG: S&V Shrouded Fable 6pk Booster Bundle,Sale,19.99,19.99,2024,10,Oct,2024-10
2024-10-11,TCGplayer,,Return,6.76,-6.76,2024,10,Oct,2024-10
2024-10-17,TCGplayer,,Sale,9.27,9.27,2024,10,Oct,2024-10
2024-10-22,Amazon,Pokemon TCG: S&V Stellar Crown Booster Bundle,Sale,23.99,23.99,2024,10,Oct,2024-10
2024-10-22,TCGplayer,,Sale,66.16,66.16,2024,10,Oct,2024-10
2024-10-23,TCGplayer,,Sale,43.0,43.0,2024,10,Oct,2024-10
2024-10-24,TCGplayer,,Sale,6.97,6.97,2024,10,Oct,2024-10
2024-10-24,TCGplayer,,Sale,6.68,6.68,2024,10,Oct,2024-10
2024-10-24,TCGplayer,,Sale,25.47,25.47,2024,10,Oct,2024-10
2024-10-25,TCGplayer,,Sale,29.41,29.41,2024,10,Oct,2024-10
2024-11-01,TCGplayer,,Sale,52.67,52.67,2024,11,Nov,2024-11
2024-11-02,TCGplayer,,Sale,36.37,36.37,2024,11,Nov,2024-11
2024-11-02,TCGplayer,,Sale,21.11,21.11,2024,11,Nov,2024-11
